name	run	timing
benchmark/tpch/sf50/q01.benchmark	1	0.131367
benchmark/tpch/sf50/q01.benchmark	2	0.151296
benchmark/tpch/sf50/q01.benchmark	3	0.118626
benchmark/tpch/sf50/q01.benchmark	4	0.109531
benchmark/tpch/sf50/q01.benchmark	5	0.102897
benchmark/tpch/sf50/q02.benchmark	1	0.561881
benchmark/tpch/sf50/q02.benchmark	2	0.679831
benchmark/tpch/sf50/q02.benchmark	3	0.551694
benchmark/tpch/sf50/q02.benchmark	4	0.522785
benchmark/tpch/sf50/q02.benchmark	5	0.582022
benchmark/tpch/sf50/q03.benchmark	1	0.502533
benchmark/tpch/sf50/q03.benchmark	2	0.710291
benchmark/tpch/sf50/q03.benchmark	3	0.539591
benchmark/tpch/sf50/q03.benchmark	4	0.724402
benchmark/tpch/sf50/q03.benchmark	5	0.566721
benchmark/tpch/sf50/q04.benchmark	1	3.391264
benchmark/tpch/sf50/q04.benchmark	2	3.575300
benchmark/tpch/sf50/q04.benchmark	3	2.764617
benchmark/tpch/sf50/q04.benchmark	4	3.189918
benchmark/tpch/sf50/q04.benchmark	5	2.553946
benchmark/tpch/sf50/q05.benchmark	1	0.712720
benchmark/tpch/sf50/q05.benchmark	2	0.725293
benchmark/tpch/sf50/q05.benchmark	3	0.680935
benchmark/tpch/sf50/q05.benchmark	4	0.678534
benchmark/tpch/sf50/q05.benchmark	5	0.435779
benchmark/tpch/sf50/q06.benchmark	1	0.037104
benchmark/tpch/sf50/q06.benchmark	2	0.035744
benchmark/tpch/sf50/q06.benchmark	3	0.034171
benchmark/tpch/sf50/q06.benchmark	4	0.035351
benchmark/tpch/sf50/q06.benchmark	5	0.034635
benchmark/tpch/sf50/q07.benchmark	1	3.442560
benchmark/tpch/sf50/q07.benchmark	2	3.545629
benchmark/tpch/sf50/q07.benchmark	3	3.512234
benchmark/tpch/sf50/q07.benchmark	4	5.269320
benchmark/tpch/sf50/q07.benchmark	5	4.288392
benchmark/tpch/sf50/q08.benchmark	1	0.622429
benchmark/tpch/sf50/q08.benchmark	2	0.434529
benchmark/tpch/sf50/q08.benchmark	3	0.434204
benchmark/tpch/sf50/q08.benchmark	4	0.606874
benchmark/tpch/sf50/q08.benchmark	5	0.448041
benchmark/tpch/sf50/q09.benchmark	1	4.015978
benchmark/tpch/sf50/q09.benchmark	2	4.007377
benchmark/tpch/sf50/q09.benchmark	3	4.425323
benchmark/tpch/sf50/q09.benchmark	4	4.782098
benchmark/tpch/sf50/q09.benchmark	5	4.715499
benchmark/tpch/sf50/q10.benchmark	1	1.935419
benchmark/tpch/sf50/q10.benchmark	2	2.433638
benchmark/tpch/sf50/q10.benchmark	3	2.566364
benchmark/tpch/sf50/q10.benchmark	4	2.704695
benchmark/tpch/sf50/q10.benchmark	5	3.197952
benchmark/tpch/sf50/q11.benchmark	1	0.083147
benchmark/tpch/sf50/q11.benchmark	2	0.083473
benchmark/tpch/sf50/q11.benchmark	3	0.074078
benchmark/tpch/sf50/q11.benchmark	4	0.098259
benchmark/tpch/sf50/q11.benchmark	5	0.096428
benchmark/tpch/sf50/q12.benchmark	1	0.270300
benchmark/tpch/sf50/q12.benchmark	2	0.311646
benchmark/tpch/sf50/q12.benchmark	3	0.371184
benchmark/tpch/sf50/q12.benchmark	4	0.342299
benchmark/tpch/sf50/q12.benchmark	5	0.345013
benchmark/tpch/sf50/q13.benchmark	1	2.200870
benchmark/tpch/sf50/q13.benchmark	2	2.818212
benchmark/tpch/sf50/q13.benchmark	3	2.160235
benchmark/tpch/sf50/q13.benchmark	4	1.784522
benchmark/tpch/sf50/q13.benchmark	5	2.320247
benchmark/tpch/sf50/q14.benchmark	1	0.447611
benchmark/tpch/sf50/q14.benchmark	2	0.311617
benchmark/tpch/sf50/q14.benchmark	3	0.269597
benchmark/tpch/sf50/q14.benchmark	4	0.287452
benchmark/tpch/sf50/q14.benchmark	5	0.491811
benchmark/tpch/sf50/q15.benchmark	1	0.291621
benchmark/tpch/sf50/q15.benchmark	2	0.392675
benchmark/tpch/sf50/q15.benchmark	3	0.336391
benchmark/tpch/sf50/q15.benchmark	4	0.277692
benchmark/tpch/sf50/q15.benchmark	5	0.299998
benchmark/tpch/sf50/q16.benchmark	1	1.134620
benchmark/tpch/sf50/q16.benchmark	2	0.808085
benchmark/tpch/sf50/q16.benchmark	3	1.262292
benchmark/tpch/sf50/q16.benchmark	4	0.979610
benchmark/tpch/sf50/q16.benchmark	5	0.785396
benchmark/tpch/sf50/q17.benchmark	1	10.453843
benchmark/tpch/sf50/q17.benchmark	2	9.258784
benchmark/tpch/sf50/q17.benchmark	3	14.014173
benchmark/tpch/sf50/q17.benchmark	4	11.505373
benchmark/tpch/sf50/q17.benchmark	5	9.726253
benchmark/tpch/sf50/q18.benchmark	1	8.448723
