Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.018       234.98     231.57      11.57
0.016       230.76     227.34       3.06
0.016       248.70     245.28       6.09
0.017       252.72     249.30       0.53
0.017       257.81     254.39       0.46
0.019       263.41     259.99       5.70
0.017       268.50     265.09       0.55
0.017       292.07     288.65       0.70
0.019       334.75     331.34       0.75
0.019       347.21     343.80       4.24
0.019       367.64     364.23       0.79
0.020       385.91     382.49       0.61
0.020       386.38     382.96       0.65
0.021       412.14     408.73       0.92
0.021       421.82     418.41       0.31
0.021       449.15     445.73       0.87
0.021       457.16     453.74       0.42
0.022       484.59     481.17       0.45
0.024       507.80     504.38       0.62
0.024       524.01     520.59       9.11
0.022       476.63     473.21       5.36
0.022       453.02     449.60       0.00
0.129       292.43     288.82      41.13
0.032       654.27     650.65      62.62
0.036      1041.32    1037.71     150.76
0.035       824.34     820.73     109.28
0.029       485.79     482.18      43.45
0.083       407.97     404.36      33.08
0.033       502.09     498.48      32.45
0.034       731.46     727.84      61.61
0.075       467.85     464.23      30.00
0.158       499.29     495.67      38.19
0.050      1652.77    1649.16     171.46
0.030       564.86     561.25       7.26
0.032       587.72     584.11      32.27
0.037       712.07     708.45      32.94
0.030       633.39     629.78      24.56
0.032       734.16     730.55      24.92
0.086       552.61     548.99      20.69
0.040      1010.70    1007.08      91.12
0.179       586.38     582.76      44.84
0.504      2523.66    2520.04     273.19
0.089       623.07     619.46      27.73
0.042       879.45     875.83      72.27
0.162       800.68     797.07      26.12
0.139       637.51     633.89      40.78
0.041       972.49     968.88     144.66
0.039       678.81     675.20      18.74
0.034       748.46     744.85      49.58
0.033       885.39     881.78      56.74
0.044       687.86     684.25      71.92
0.086       667.20     663.59      35.77
0.035       713.19     709.57      30.65
0.038       745.00     741.39      55.29
0.076       684.37     680.75      34.68
0.050       718.06     714.45      37.29
0.111      1183.29    1179.68      25.98
0.094      1506.93    1503.31     288.51
0.269      1647.85    1644.23      95.06
0.364      1847.91    1844.30     192.79
0.324      1959.24    1955.62     339.86
0.263      2025.58    2021.97     276.52
0.478      2129.59    2125.98     291.59
0.516      2136.96    2133.35     256.70
0.463       774.61     770.99      91.68
0.057       886.07     882.45      80.92
0.168       735.16     731.54      32.54
0.095      1256.52    1252.91      23.89
0.093      1711.79    1708.17     211.51
0.071      2147.44    2143.82      54.75
0.089      2229.77    2226.16     125.26
0.191       914.59     910.98      49.24
0.042       884.44     880.83      13.90
0.047       991.77     988.16      58.73
0.103      1086.45    1082.83      58.43
0.251      1319.37    1315.76     128.61
0.094      1389.60    1385.99      57.66
0.290      1478.73    1475.12     221.48
0.334      1542.42    1538.81     143.66
0.334      1633.84    1630.23     212.99
0.290      1683.86    1680.25     286.23
0.138       931.04     927.42      40.19
0.051      1163.84    1160.23      92.61
0.103       926.75     923.14      31.97
0.051       910.50     906.89      33.26
0.062      1151.88    1148.26      57.80
0.065      1508.02    1504.41      64.75
0.122       976.33     972.72      43.57
0.050      1048.84    1045.22      31.00
0.154      1745.67    1742.05     152.08
0.085      2766.60    2762.98     117.62
0.249      3890.04    3886.43      57.75
0.144      4372.10    4368.48     379.21
0.140      4520.09    4516.48     273.29
0.572      1163.01    1159.39      76.59
0.127       973.48     969.87      37.98
0.053      1140.36    1136.75      88.91
0.052      1228.51    1224.90      29.33
0.130       978.61     975.00      43.16
0.055      1332.89    1329.28     102.36
0.229      1318.72    1315.11      86.38
0.097      1032.93    1029.32      35.64
0.271      1050.93    1047.32      52.64
0.060      1471.71    1468.10     155.68
0.048      1127.89    1124.27      24.75
0.046      1033.75    1030.13      32.94
0.046      1028.66    1025.05      26.02
0.045       997.90     994.29      10.10
0.048      1108.86    1105.24     108.45
0.091      1047.40    1043.79      25.10
0.055      1125.75    1122.14      31.29
0.050      1106.41    1102.79      73.91
0.069      1960.54    1956.92     103.44
0.084      1019.61    1015.99      15.43
0.053      1030.38    1026.77      15.58
0.047      1095.76    1092.15      25.14
