Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.019       403.65     400.26       7.01
0.018       418.09     414.70      12.09
0.019       444.42     441.03       7.17
0.022       454.02     450.63      12.42
0.023       488.57     485.18       3.92
0.022       478.57     475.18      13.41
0.023       523.60     520.21       7.70
0.023       524.52     521.13      13.36
0.025       564.18     560.79       3.07
0.026       576.42     573.03      21.26
0.026       591.02     587.63      11.96
0.026       627.79     624.40       9.79
0.026       638.55     635.16      12.35
0.026       696.33     692.94      13.56
0.027       727.01     723.62      12.47
0.027       747.60     744.21      12.05
0.027       765.66     762.27      13.11
0.028       786.53     783.14       7.02
0.028       784.39     781.00       7.36
0.028       793.80     790.42      13.15
0.029       803.25     799.86      17.29
0.029       836.41     833.02       5.30
0.028       809.51     806.12      14.75
0.029       844.85     841.46      11.99
0.030       868.84     865.45       7.29
0.030       867.25     863.86      15.08
0.029       893.04     889.65      13.39
0.030       903.13     899.74       7.61
0.031       920.67     917.28       7.66
0.030       931.92     928.53       7.00
0.031       943.06     939.67       5.41
0.032       956.04     952.65       7.61
0.031       952.32     948.93      14.91
0.032       983.42     980.03      10.60
0.031       985.22     981.83      10.90
0.031       995.22     991.83      12.30
0.032      1017.64    1014.25       9.72
0.032      1022.05    1018.66       7.36
0.032      1047.77    1044.38       8.98
0.033      1045.50    1042.11      15.08
0.032      1068.32    1064.93       7.36
0.033      1076.27    1072.88       2.09
0.033      1077.27    1073.88      13.32
0.033      1111.96    1108.57       6.34
0.033      1120.54    1117.15      12.49
0.034      1147.30    1143.92      12.10
0.034      1134.59    1131.20      10.73
0.034      1155.59    1152.20       9.42
0.034      1151.59    1148.20      12.46
0.035      1180.38    1176.99      15.82
0.035      1194.87    1191.48      10.20
0.035      1200.64    1197.25      12.67
0.036      1219.48    1216.09      12.88
0.035      1216.75    1213.36       9.33
0.035      1244.94    1241.55       7.68
0.035      1231.68    1228.29      13.21
0.036      1253.49    1250.10      12.67
0.037      1284.43    1281.04      15.46
0.037      1285.17    1281.78      15.77
0.037      1301.70    1298.31      13.66
0.037      1309.68    1306.29       8.89
0.037      1334.70    1331.31       2.05
0.038      1319.69    1316.30      12.20
0.037      1359.47    1356.08      25.10
0.038      1382.14    1378.75      22.68
0.037      1365.10    1361.71      17.16
0.038      1387.12    1383.73      12.82
0.038      1384.43    1381.04      12.91
0.038      1418.60    1415.21      14.68
